0
0
0
0
0
0
0
2
3
4
5
9
13
15
16
17
22
26
34
38
44
48
53
65
72
74
89
115
135
154
181
220
269
293
330
375
429
477
522
576
648
709
812
866
911
980
1,072
1,137
1,287
1,475
1,653
1,759
1,814
2,201
2,534
2,843
3,148
3,479
3,494
3,922
4,466
4,991
5,315
5,653
6,104
6,465
6,834
7,511
7,895
8,254
8,315
8,572
8,692
9,075
9,416
9,772
10,220
10,348
10,625
10,846
11,122
11,425
11,662
11,989
12,134
12,354
12,618
12,975
13,260
13,654
13,905
14,101
14,345
14,611
14,866
15,117
15,379
15,543
15,634
15,752
15,883
16,025
16,315
16,513
16,633
16,725
16,851
17,031
17,226
17,415
17,591
17,707
17,810
17,957
18,092
18,221
18,346
18,524
18,775
18,899
19,042
19,177
19,310
19,452
19,660
19,827
19,929
20,046
20,201
20,425
20,623
20,777
20,998
21,172
21,399
21,717
21,979
22,134
22,361
22,481
22,583
22,847
23,190
23,486
23,818
24,174
24,395
24,618
24,899
25,157
25,422
25,766
26,211
26,391
26,702
26,956
27,178
27,489
27,821
28,104
28,245
28,432
28,696
29,030
29,244
29,660
29,988
30,241
30,372
30,563
30,825
31,040
31,348
31,626
31,780
31,889
32,047
32,348
32,727
33,101
33,439
33,753
34,046
34,287
34,287
34,574
34,995
35,469
35,661
35,805
35,886
35,975
36,477
36,917
37,373
37,841
38,108
38,335
38,642
38,970
39,417
39,921
40,387
40,797
41,083
41,388
41,785
42,278
42,731
43,162
43,596
44,063
44,578
45,044
45,564
